DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
24/10/2022,5499,10376, 24301-13680, 38695-41130-50727-16362-08149-79482, 8855-9322-2164-0561, 8869-8529-0030-2126-4951-8249, 161-852-598, 99-51-40-76, 8FU-10FU-11FU-4FU-9FU-1FU
23/10/2022,12843,17105, 39019-07823, 84315-68555-25647-16084-08591-54488, 6546-9861-9809-6677, 5359-4191-5365-8620-2515-4762, 860-513-793, 11-31-91-02, 14FV-7FV-6FV-5FV-9FV-12FV
22/10/2022,31698,10399, 51180-27619, 96231-22899-54741-08898-00597-66057, 0841-6547-3780-4848, 0188-2975-3529-7492-4196-8276, 354-616-141, 44-10-28-67, 13FX-12FX-10FX-1FX-11FX-15FX
21/10/2022,50000,77386, 96071-94717, 33512-47054-17057-15910-69114-85358, 4981-5705-4473-2457, 7949-4076-4318-6437-1640-7878, 709-836-117, 29-30-68-73, 9FY-7FY-14FY-15FY-2FY-4FY
20/10/2022,27465,33685, 53025-07718, 77719-50004-40691-31858-54368-81032, 8755-4276-8212-5294, 3670-4516-1189-0214-4497-1524, 577-678-548, 09-16-75-67, 2FZ-13FZ-3FZ-14FZ-8FZ-6FZ
19/10/2022,68879,46059, 26549-42155, 33720-39460-18432-13620-28920-93358, 8789-3529-4582-6318, 8656-4294-0913-2614-3128-8153, 790-058-472, 80-25-18-98, 13EA-7EA-6EA-12EA-2EA-11EA
18/10/2022,7253,99692, 72624-20724, 50452-80059-29786-83786-32047-53896, 5791-6996-2984-7726, 0054-1956-0329-4338-7272-9689, 859-274-234, 58-92-72-76, 5EB-9EB-15EB-14EB-8EB-4EB
17/10/2022,15677,13447, 41401-55659, 09614-70832-48851-08349-92890-45052, 9807-5291-5713-4749, 3465-7671-0654-6944-4800-3828, 274-626-012, 84-12-41-70, 10EC-8EC-13EC-12EC-7EC-14EC
16/10/2022,35546,43491, 46880-08079, 95676-16955-95218-07214-56949-85631, 8429-8077-0919-9292, 4746-6456-4093-3972-9340-5011, 569-008-014, 99-93-57-98, 7ED-4ED-14ED-9ED-10ED-11ED
15/10/2022,79638,62960, 56791-78023, 41367-91030-88995-83073-74966-09400, 3001-0497-3257-6858, 6376-1915-7724-5888-9196-1252, 714-312-184, 84-20-65-31, 13EF-4EF-3EF-8EF-14EF-5EF
14/10/2022,57974,15324, 29062-35164, 54267-19205-53894-86391-87598-37568, 8724-2642-2107-7220, 7356-1703-9977-2587-4248-0538, 770-996-138, 68-17-39-74, 9EG-2EG-12EG-11EG-6EG-8EG
13/10/2022,65353,92369, 24020-84825, 50821-32359-74870-12430-78783-40433, 1468-2242-7310-2723, 5142-2564-9296-2065-6641-7512, 873-047-216, 96-07-60-69, 8EH-13EH-2EH-9EH-7EH-15EH
12/10/2022,67145,28295, 82580-33620, 73040-79146-86668-63657-04732-22245, 2449-8653-9499-0010, 0031-1635-8745-0326-2604-0686, 971-858-036, 22-81-01-66, 4EK-6EK-8EK-5EK-9EK-15EK
11/10/2022,92034,5536, 18653-32471, 32150-21246-33161-72244-89650-11416, 5592-7323-1688-6043, 9585-5644-4377-4978-8404-9769, 851-567-112, 90-65-31-02, 11EL-2EL-10EL-1EL-9EL-8EL
10/10/2022,71218,70576, 61119-21941, 78697-14684-18932-79736-28498-50030, 8737-5641-6411-2263, 6456-6564-4412-3221-9154-8654, 043-831-025, 17-50-26-75, 17EM-8EM-9EM-20EM-18EM-13EM-5EM-11EM
9/10/2022,96669,56310, 58287-20321, 86171-44020-38870-68078-28970-96499, 0217-7342-3367-2613, 6187-9081-2928-1916-6109-1605, 191-797-551, 35-94-84-96, 1EN-8EN-3EN-6EN-10EN-12EN
8/10/2022,94309,45465, 82813-94520, 95939-36043-04874-02787-78555-90593, 1804-6793-2893-8197, 2179-9142-5758-7134-2092-2071, 965-316-142, 24-33-55-14, 9EP-15EP-6EP-1EP-2EP-5EP
7/10/2022,13037,25059, 77426-43042, 30301-11715-75441-91042-10694-00556, 2600-9426-3762-4148, 8352-4926-0137-7010-1972-0691, 470-428-686, 40-59-18-55, 8EQ-6EQ-10EQ-11EQ-12EQ-4EQ
6/10/2022,26450,99472, 09283-07481, 63796-53170-80934-22592-80331-56633, 8859-0728-2446-9170, 6729-9347-5965-8975-1178-5625, 026-289-267, 80-66-17-78, 7ER-1ER-6ER-2ER-11ER-14ER
5/10/2022,80983,9046, 29399-08507, 72726-62831-85711-88004-51568-54046, 3784-1825-7897-5657, 0729-8051-5357-9572-5889-8522, 953-112-874, 37-64-78-79, 1ES-9ES-14ES-8ES-4ES-2ES
4/10/2022,51859,22919, 35872-32518, 46888-13051-20406-85739-07528-63266, 8526-6947-1634-6044, 1174-6209-5150-8436-2640-6544, 609-398-915, 38-37-77-39, 14ET-7ET-4ET-8ET-9ET-11ET
3/10/2022,65169,74026, 63525-28014, 47655-30419-12277-98801-28492-67966, 7946-0562-8432-6252, 4135-4435-8511-6451-6270-0406, 430-459-116, 70-41-84-77, 1EU-6EU-12EU-15EU-8EU-13EU
2/10/2022,64668,12669, 30412-40677, 43964-77103-31566-95498-58551-53578, 3780-9427-9341-1822, 8682-2452-1507-1839-2299-0283, 634-766-963, 19-51-91-62, 15EV-6EV-10EV-3EV-11EV-7EV
1/10/2022,35019,13904, 96463-34496, 63867-87793-10430-09002-77030-79134, 0901-2079-7938-4045, 6197-4436-6869-5712-5950-6313, 822-592-330, 67-18-66-01, 2EX-11EX-14EX-7EX-12EX-15EX
30/09/2022,89651,76636, 22292-54784, 40592-50165-34688-85182-55312-77191, 5102-9000-1506-9324, 0882-3728-9426-5396-8504-7262, 809-167-404, 82-26-64-71, 12EY-9EY-11EY-8EY-15EY-6EY
29/09/2022,92129,68334, 70735-51228, 30792-09411-13941-98786-31667-15756, 3837-4684-8365-2866, 7969-2248-2682-1783-9037-4282, 522-777-486, 26-03-94-76, 15EZ-7EZ-6EZ-8EZ-12EZ-1EZ
28/09/2022,41946,37992, 99881-91950, 49017-20483-16317-30969-39736-05788, 9513-1650-8588-6805, 7872-2543-5183-9311-7738-9622, 942-348-751, 23-76-66-37, 9DA-11DA-14DA-3DA-13DA-10DA
27/09/2022,77390,44227, 07899-14634, 63455-73781-29319-20235-27180-54670, 9671-9583-6464-8484, 8179-7748-8340-8528-5731-5985, 248-744-402, 20-92-88-50, 7DB-13DB-1DB-12DB-10DB-14DB
26/09/2022,93712,6763, 50213-34368, 32501-94496-09495-19650-16988-69377, 6160-0094-1043-2015, 2987-0826-6345-2156-3187-9763, 884-736-215, 62-69-61-05, 10DC-20DC-2DC-14DC-8DC-5DC-11DC-18DC
25/09/2022,59509,36837, 50137-94982, 38607-71890-94928-23815-97833-95667, 1818-5842-0140-4657, 3701-6434-4520-4327-6864-4674, 104-934-481, 89-37-57-16, 3DE-6DE-2DE-9DE-12DE-11DE
24/09/2022,8154,1140, 39583-05213, 67243-04747-99009-14386-47068-86540, 8467-7574-1579-7138, 0386-8686-5211-9162-0166-5909, 368-823-443, 08-34-78-91, 6DF-9DF-4DF-14DF-2DF-8DF
23/09/2022,79436,63302, 75772-78656, 69170-12911-94608-26376-57000-53326, 3605-3596-2870-5392, 0160-3795-0046-7968-4321-9567, 724-174-453, 01-53-48-49, 3DG-15DG-9DG-5DG-12DG-2DG
22/09/2022,76777,14235, 67639-39627, 11078-35566-60396-76531-52810-77165, 1992-5460-0527-7755, 5119-6943-5185-6519-4917-0751, 495-283-089, 37-75-66-01, 6DH-12DH-8DH-5DH-11DH-14DH
21/09/2022,44823,4642, 28539-90167, 57514-55801-03094-14585-30266-70855, 7785-6343-5951-3385, 5136-4603-1640-7743-5004-9439, 380-518-321, 05-26-16-94, 15DK-9DK-14DK-5DK-2DK-7DK
20/09/2022,50221,51429, 03694-87656, 84226-05736-37676-53627-63292-57192, 9164-3207-6899-0093, 0799-2165-7646-4794-0908-0008, 818-799-831, 71-10-04-40, 11DL-7DL-1DL-3DL-10DL-9DL
19/09/2022,62198,45485, 76774-74253, 18739-41960-51934-31194-39042-78008, 2546-5002-0826-2950, 7124-9884-5639-3108-6204-5861, 927-362-456, 95-77-72-22, 8DM-5DM-14DM-15DM-4DM-7DM
18/09/2022,14894,36603, 09941-58304, 25494-16326-17346-02170-77335-45416, 2580-6226-0074-0880, 6188-2187-0423-0407-4042-0222, 781-007-337, 05-00-23-64, 5DN-8DN-1DN-7DN-14DN-10DN
17/09/2022,55890,82995, 85254-99868, 74363-31000-98734-25095-92211-67172, 5992-5247-0426-6302, 1049-1972-3323-0748-3642-0676, 084-250-098, 65-71-29-25, 11DP-10DP-6DP-14DP-9DP-8DP
16/09/2022,48715,90716, 56928-41080, 43187-69772-54529-67275-81565-74877, 6222-2420-3750-8550, 6817-6756-4721-1214-2847-5145, 847-449-541, 90-89-86-84, 3DQ-1DQ-14DQ-11DQ-15DQ-6DQ
15/09/2022,87354,95705, 63025-08721, 37527-77157-47318-04777-03121-08569, 6606-8058-1050-3792, 3383-3124-5188-4666-1071-0378, 296-672-723, 47-04-81-95, 5DR-6DR-14DR-11DR-8DR-9DR
14/09/2022,66581,70165, 25649-75110, 24053-74602-11614-17793-38255-41413, 6240-7984-0724-3955, 7903-9567-1600-2103-4654-3565, 851-525-505, 92-08-74-99, 15DS-14DS-8DS-2DS-4DS-3DS
13/09/2022,21776,55643, 39452-83110, 59555-55905-20167-47278-21686-14131, 7684-5001-9636-8397, 9117-6829-9603-5470-7539-1013, 291-438-718, 66-68-97-85, 13DT-10DT-8DT-11DT-9DT-12DT
12/9/2022,55448,93409, 19965-60859, 99851-03123-34167-27971-32321-04504, 9860-0467-9764-1555, 0828-1089-2239-3967-4868-6380, 668-676-301, 32-82-40-75, 15DU-1DU-5DU-2DU-10DU-11DU
11/9/2022,99951,20446, 01749-04947, 48714-13415-43233-47562-05148-54399, 2349-1167-2271-6497, 7617-3249-4218-7009-3163-8093, 487-249-588, 77-75-23-39, 4DV-7DV-14DV-15DV-10DV-8DV
10/9/2022,17535,74421, 07598-02432, 21437-09706-21647-65512-61974-19816, 8924-4536-0250-0862, 0003-1179-3370-0816-9711-1183, 340-431-743, 68-48-55-78, 10DX-17DX-9DX-19DX-20DX-14DX-2DX-1DX
9/9/2022,1293,80770, 15337-47742, 84235-63153-17132-31890-86262-24310, 6151-3354-6145-9246, 9155-7143-8319-1406-5014-2761, 565-455-052, 20-96-86-74, 7DY-5DY-3DY-10DY-12DY-1DY
8/9/2022,75743,11926, 27509-34830, 11602-69444-33782-75307-33035-45370, 4612-1310-5450-6192, 4529-5787-8580-7087-6706-7842, 149-438-967, 61-14-90-71, 14DZ-9DZ-4DZ-12DZ-8DZ-3DZ
7/9/2022,51169,94457, 78799-03878, 13499-40399-00736-26519-77848-43755, 1647-1886-5154-9435, 1922-6900-2163-1338-6990-7333, 406-664-314, 19-90-98-64, 7CA-9CA-6CA-10CA-4CA-8CA
6/9/2022,44816,5276, 93856-11335, 10102-00373-21645-96634-97458-95218, 7816-1527-1194-7121, 5920-9616-0916-7933-1269-6917, 031-502-902, 43-97-00-86, 2CB-3CB-9CB-11CB-1CB-4CB
5/9/2022,1548,24105, 97886-05221, 40800-37871-20859-72800-54653-88845, 0439-7366-0464-1971, 1811-4985-1123-8003-0173-1572, 022-988-617, 56-06-23-95, 9CD-10CD-8CD-4CD-3CD-6CD
4/9/2022,62111,65882, 91035-75523, 85149-89326-71871-17117-93037-84404, 3603-3588-6843-4166, 7521-1955-8223-7024-1399-5665, 583-316-989, 78-58-10-15, 4CE-10CE-6CE-7CE-14CE-2CE
3/9/2022,47153,58840, 46746-06592, 55536-69384-11121-74022-32334-51107, 0663-4302-2240-1784, 4784-5764-8242-0620-9295-3524, 188-854-617, 32-43-04-71, 7CF-12CF-15CF-6CF-11CF-5CF
2/9/2022,3138,55336, 16287-50610, 23213-94611-93054-99001-36062-64565, 7738-6383-2433-9941, 2750-0335-6575-3757-2714-9100, 469-117-171, 10-09-33-02, 15CG-8CG-11CG-7CG-5CG-9CG
1/9/2022,69488,89786, 68416-20989, 45860-53290-69426-73508-69579-36407, 5838-2680-0316-1899, 2093-4220-1206-7177-8083-7727, 287-915-111, 03-37-59-84, 12CH-6CH-7CH-9CH-13CH-15CH
31/08/2022,92467,4353, 42176-84877, 12922-10803-93157-74468-19809-02943, 4604-4066-6122-8234, 2856-7313-6418-8548-6098-1198, 434-741-689, 39-10-45-48, 12CK-9CK-20CK-7CK-6CK-15CK-2CK-17CK
30/08/2022,96955,63681, 20727-48078, 63705-25369-96438-09380-80303-46713, 5869-8694-2210-7799, 4602-1077-6892-8471-8213-0174, 516-437-295, 70-79-33-68, 3CL-15CL-13CL-9CL-7CL-14CL
29/08/2022,75965,38820, 71575-21773, 11467-84675-61952-95607-14201-55425, 2131-9835-4095-9439, 8213-2982-1312-9421-7692-0890, 343-694-012, 19-70-91-92, 8CM-2CM-13CM-3CM-10CM-11CM
28/08/2022,68144,2532, 39990-30534, 62396-64626-74930-13320-66222-93073, 6152-0959-1223-0684, 7981-5798-9718-8950-1299-9004, 445-126-080, 21-43-03-91, 4CN-8CN-1CN-3CN-10CN-15CN
27/08/2022,89617,36200, 30730-97036, 68220-33704-41987-58944-17845-22571, 7987-8528-4286-1410, 5725-7563-8458-2106-0422-9373, 826-976-447, 07-38-74-42, 7CP-11CP-16CP-2CP-18CP-6CP-9CP-17CP
26/08/2022,89151,13354, 41050-66592, 11829-85952-33618-51263-45682-75002, 7290-0543-6438-1691, 8156-7005-8893-7464-5566-9131, 314-530-391, 55-24-88-02, 13CQ-3CQ-1CQ-11CQ-4CQ-5CQ
25/08/2022,28670,79137, 56442-84712, 87818-27183-80085-51167-33296-77942, 5364-0801-3433-1535, 5500-3252-4260-9739-5644-8974, 781-074-605, 74-87-35-29, 9CR-7CR-6CR-8CR-14CR-1CR
24/08/2022,24832,9710, 19597-96488, 64539-85052-38023-63528-50145-50053, 7281-3051-4175-4357, 0695-7243-3800-3310-3605-3625, 762-017-363, 79-56-97-13, 15CS-8CS-2CS-9CS-7CS-6CS
23/08/2022,63437,69177, 52091-44029, 22569-63552-95456-60454-11084-01964, 3630-3584-9481-9213, 6817-9484-5120-5343-8191-7915, 296-275-142, 00-09-47-88, 12CT-15CT-2CT-7CT-11CT-14CT
22/08/2022,60652,61027, 38872-08164, 30974-87817-00516-93800-35859-72718, 9816-5220-5935-3029, 5672-5791-6269-6512-7642-5634, 284-547-080, 56-31-58-94, 15CU-9CU-8CU-13CU-2CU-5CU
21/08/2022,17965,51526, 11630-27394, 89056-21014-36003-72222-19982-43232, 5056-5006-6540-2620, 8936-4822-8413-4090-5858-3016, 649-685-503, 57-28-49-66, 4CV-7CV-14CV-13CV-2CV-8CV
20/08/2022,10211,10226, 78650-66649, 32250-16424-42617-56575-82534-14503, 8061-4557-2846-6122, 1622-6905-7172-9074-9707-8435, 048-364-120, 76-44-31-19, 1CX-15CX-4CX-3CX-7CX-12CX
19/08/2022,75303,52115, 49450-24190, 39685-51015-16217-74644-90331-13027, 5832-5220-1115-6455, 1424-7115-9192-5255-9861-7330, 344-895-657, 08-96-98-75, 10CY-1CY-8CY-2CY-4CY-13CY
18/08/2022,92993,46562, 68475-79592, 79028-40725-23685-37742-80014-55460, 6168-7173-8075-2828, 8775-8859-2714-4575-5934-7036, 570-463-988, 15-86-87-60, 1CZ-12CZ-7CZ-14CZ-2CZ-3CZ
17/08/2022,54182,38978, 61233-03985, 41334-00280-02948-83461-45989-19870, 7884-5634-5103-8078, 9995-1114-4432-5354-5845-0888, 976-390-601, 26-04-40-91, 2BA-9BA-1BA-6BA-10BA-7BA
16/08/2022,5904,6952, 68041-20939, 60378-64066-12692-84872-11430-60174, 2899-1421-4333-6106, 2708-4857-7045-5878-0546-5721, 609-529-320, 42-83-05-14, 3BC-4BC-1BC-8BC-9BC-15BC
15/08/2022,19117,51486, 27002-45812, 22224-52091-57517-09993-31743-66134, 4783-1074-4928-0171, 0247-7431-9917-7825-0207-5207, 313-533-535, 16-67-93-57, 15BD-8BD-4BD-6BD-5BD-14BD
14/08/2022,90213,96091, 12663-03126, 96299-28353-21524-76131-26295-69804, 3374-8195-2463-7621, 8622-0768-2244-3256-0607-5253, 134-703-689, 74-75-89-06, 1BE-5BE-15BE-12BE-9BE-11BE
13/08/2022,40306,29373, 24629-41347, 71646-95478-96243-76243-78047-19705, 0851-2636-5859-6514, 6873-5940-3430-6666-8160-1699, 731-615-566, 75-88-26-34, 6BF-2BF-11BF-5BF-1BF-14BF
12/8/2022,93970,42956, 73740-91882, 83289-82224-72392-74037-55906-71697, 8776-4418-7445-8959, 1169-0666-5630-9231-9050-2909, 821-686-067, 19-90-38-72, 11BG-17BG-6BG-19BG-2BG-16BG-7BG-3BG
11/8/2022,44082,54663, 92964-99837, 22054-43808-55157-92026-05240-67821, 2738-7721-9324-8774, 9294-5523-0851-6678-6552-6797, 222-573-344, 18-50-01-97, 1BH-3BH-9BH-4BH-15BH-7BH
10/8/2022,42119,46227, 15689-40605, 72931-94336-16191-34533-11281-55440, 3715-6243-8815-2599, 2175-5335-7267-0050-2428-0823, 480-881-114, 00-21-22-60, 3BK-8BK-1BK-11BK-10BK-5BK
9/8/2022,180,8818, 76858-40225, 72014-12353-22770-77701-09071-86478, 2496-0033-3491-3756, 9133-9537-9829-7490-4817-6589, 487-431-615, 29-26-30-37, 6BL-9BL-11BL-10BL-2BL-4BL
8/8/2022,76821,26769, 25934-27097, 43807-18207-37835-64746-96956-71714, 9638-3327-2771-8852, 5803-4206-1658-8429-7592-1323, 531-716-624, 26-15-12-43, 12BM-7BM-13BM-8BM-1BM-10BM
7/8/2022,80395,604, 25509-78144, 59383-34164-25193-99102-86355-12585, 8759-8509-1662-6999, 8566-5673-2593-7055-8534-2576, 870-598-708, 15-08-89-57, 3BN-12BN-10BN-9BN-14BN-4BN
6/8/2022,74873,78243, 71609-86446, 61504-82910-88725-81307-14382-76821, 7562-1111-9085-4994, 5479-4825-7458-8637-4759-5644, 020-634-836, 27-69-71-72, 7BP-12BP-1BP-8BP-2BP-6BP
5/8/2022,49513,91374, 13523-80169, 21823-68922-93413-71315-35384-07823, 0393-0045-1630-7989, 5811-7088-8901-1847-2888-9731, 840-991-794, 73-16-14-67, 10BQ-6BQ-13BQ-5BQ-15BQ-8BQ
4/8/2022,27492,50569, 07770-83906, 50365-06019-82717-45685-55631-41612, 2894-4553-2442-6401, 3139-6062-4573-1868-9701-0743, 972-393-289, 37-36-29-24, 3BR-5BR-8BR-9BR-14BR-13BR
3/8/2022,37686,60371, 33660-43875, 55527-82314-77309-06574-24773-18642, 9148-3426-1501-7519, 9150-5760-3983-1193-2334-6678, 686-240-515, 18-86-51-46, 7BS-9BS-15BS-3BS-4BS-13BS
2/8/2022,36335,79490, 10945-04382, 97683-25643-03670-62577-76608-23625, 1076-7029-2491-7292, 5511-1170-1403-4791-6830-1185, 138-098-480, 67-21-06-93, 2BT-14BT-12BT-7BT-1BT-13BT
1/8/2022,46555,11459, 44331-72670, 09791-21977-96540-46622-69528-69111, 8040-4166-2393-5238, 5081-2597-1948-0507-0291-3793, 693-962-297, 05-62-33-08, 12BU-9BU-7BU-14BU-6BU-8BU
31/07/2022,50267,2643, 88354-35612, 11215-84841-92400-56864-37463-00835, 7282-2781-4459-3005, 3579-4673-8227-3177-8253-7338, 400-582-515, 07-94-69-52, 12BV-5BV-10BV-8BV-2BV-13BV
30/07/2022,96409,33297, 98099-05132, 75396-28088-46255-18481-39865-20146, 9948-0498-4546-5949, 5489-2998-2610-3077-8455-8252, 987-754-354, 98-81-82-60, 13BX-15BX-7BX-4BX-10BX-8BX
29/07/2022,92303,26296, 84138-43275, 36178-06646-53358-95717-80769-17285, 9639-4044-4771-9291, 0020-5037-4532-9624-9484-3294, 394-149-725, 49-15-41-16, 7BY-10BY-6BY-8BY-5BY-15BY-1BY-2BY
28/07/2022,56590,61023, 98472-09449, 04650-98701-87625-84140-86675-56960, 7664-1132-0337-7758, 7166-9054-3476-1670-5560-5790, 413-902-034, 10-94-32-15, 9BZ-11BZ-4BZ-14BZ-5BZ-6BZ
27/07/2022,9155,63250, 61771-47619, 30310-69885-83520-14839-34038-91584, 7099-8552-5600-5581, 2215-1315-4090-7585-9842-0531, 712-752-820, 89-15-41-33, 8AB-5AB-12AB-13AB-1AB-7AB
26/07/2022,558,96583, 14877-72399, 55785-71653-68381-74791-63855-46439, 2344-6667-0716-5682, 5996-4337-0076-2698-1030-4113, 217-279-802, 13-35-26-55, 15AC-4AC-14AC-3AC-2AC-6AC
25/07/2022,69502,72642, 04474-23788, 99464-91324-13169-61240-37704-66460, 1056-6840-0293-3918, 3061-5636-5228-4776-9816-9033, 755-637-737, 18-60-02-53, 2AD-11AD-14AD-6AD-9AD-12AD
24/07/2022,22857,51386, 77335-30735, 18856-99500-39036-66458-33795-33105, 8872-2380-7349-9457, 9494-0203-6282-6285-0787-8796, 915-933-632, 00-64-28-01, 3AE-14AE-13AE-7AE-1AE-6AE
23/07/2022,15361,86993, 28048-57745, 41322-93938-52555-61505-86896-02053, 4842-5846-3931-4697, 2370-5850-0727-5103-4180-7072, 000-573-154, 53-87-61-51, 2AF-12AF-1AF-3AF-6AF-9AF
22/07/2022,4093,51457, 29485-11161, 79626-58052-46399-46795-33274-08210, 2990-7622-1306-0513, 4595-0986-6083-6982-6407-4489, 826-697-140, 14-32-84-00, 6AG-10AG-5AG-2AG-12AG-9AG
21/07/2022,27404,63031, 07886-87611, 64104-40247-35636-99985-97920-16806, 3604-3302-1483-7684, 2046-7396-6791-7731-3754-0516, 440-964-439, 31-90-65-93, 10AH-14AH-13AH-12AH-4AH-6AH
20/07/2022,25496,72929, 78576-63755, 74523-95027-32314-58361-15818-34987, 7507-7435-4693-5772, 8614-0815-9048-3128-2137-4087, 392-139-380, 35-45-90-20, 11AK-2AK-5AK-7AK-10AK-3AK
19/07/2022,53393,88480, 98910-16736, 45267-23019-53467-28429-38832-40046, 6803-6055-3124-0841, 4290-7564-9959-6429-4218-2126, 866-403-681, 87-46-22-06, 14AL-8AL-13AL-9AL-15AL-11AL
18/07/2022,36713,35519, 42106-16732, 56205-07801-71250-96549-48172-53627, 6514-7649-3048-9094, 4750-4156-4362-2281-3698-8250, 866-829-556, 94-95-33-10, 15AM-6AM-7AM-4AM-14AM-11AM
17/07/2022,66327,20157, 03078-20001, 22771-88156-52404-55038-43610-12392, 1519-2533-8023-6421, 4871-4766-9593-2960-7430-5438, 675-358-168, 24-34-89-90, 8AN-14AN-7AN-15AN-11AN-13AN
16/07/2022,77064,71741, 72337-44659, 44394-66969-40892-93397-87057-98369, 6540-4164-0571-4718, 7806-5487-9072-5446-0798-2999, 814-546-246, 60-48-66-47, 5AP-12AP-13AP-9AP-15AP-11AP
